worker#,obj-id,open+read-data-time,wrkr-num-objs,mean-obj-time,num-dsets,mean-dset-time,pb-size,num-workers,obj-type,tot-num-obj,total-runtime
1,1160825014,0.1654124700000068,1,0.1654124700000068,123,0.001344816829268348,0,1,shots,500,0.1843946390000042
1,1160830003,0.03292783500000951,1,0.03292783500000951,62,0.0005310941129033792,0,2,shots,500,0.14334804099999587
2,1160830003,0.12328996799999459,1,0.12328996799999459,61,0.0020211470163933537,0,2,shots,500,0.14334804099999587
1,1160902013,0.01214883800000166,1,0.01214883800000166,32,0.0003796511875000519,0,4,shots,500,0.11638031900000101
2,1160902013,0.026436191999977154,1,0.026436191999977154,32,0.0008261309999992861,0,4,shots,500,0.11638031900000101
3,1160902013,0.08915257099999963,1,0.08915257099999963,33,0.0027015930606060492,0,4,shots,500,0.11638031900000101
4,1160902013,0.07278467099999375,1,0.07278467099999375,26,0.0027994104230766826,0,4,shots,500,0.11638031900000101
1,aeqdsk_aminor,0.18221196600001122,63,0.0028922534285716066,126,0.0014461267142858033,0,8,signals,61,28.849685455000014
2,aeqdsk_aminor,0.1847783449999838,63,0.002932989603174346,126,0.001466494801587173,0,8,signals,61,28.849685455000014
3,aeqdsk_aminor,0.17566469099998017,63,0.0027883284285711136,126,0.0013941642142855568,0,8,signals,61,28.849685455000014
4,aeqdsk_aminor,0.18117764600000896,63,0.002875835650793793,126,0.0014379178253968966,0,8,signals,61,28.849685455000014
5,aeqdsk_aminor,0.17159109400000716,63,0.0027236681587302723,126,0.0013618340793651361,0,8,signals,61,28.849685455000014
6,aeqdsk_aminor,0.17709118100000865,63,0.002810971126984264,126,0.001405485563492132,0,8,signals,61,28.849685455000014
7,aeqdsk_aminor,0.17756607600000507,63,0.0028185091428572233,126,0.0014092545714286117,0,8,signals,61,28.849685455000014
8,aeqdsk_aminor,0.166073573999995,59,0.0028148063389829663,118,0.0014074031694914831,0,8,signals,61,28.849685455000014
1,aeqdsk_area,0.083583697000023,63,0.0013267253492067143,126,0.0006633626746033571,0,8,signals,61,28.849685455000014
2,aeqdsk_area,0.06435967600000936,63,0.0010215821587303074,126,0.0005107910793651537,0,8,signals,61,28.849685455000014
3,aeqdsk_area,0.0932887519999781,63,0.0014807738412694936,126,0.0007403869206347468,0,8,signals,61,28.849685455000014
4,aeqdsk_area,0.0878277030000163,63,0.0013940905238097826,126,0.0006970452619048913,0,8,signals,61,28.849685455000014
5,aeqdsk_area,0.09594706699999733,63,0.0015229693174602752,126,0.0007614846587301376,0,8,signals,61,28.849685455000014
6,aeqdsk_area,0.084505944,63,0.0013413641904761904,126,0.0006706820952380952,0,8,signals,61,28.849685455000014
7,aeqdsk_area,0.08754641599998081,63,0.001389625650793346,126,0.000694812825396673,0,8,signals,61,28.849685455000014
8,aeqdsk_area,0.07732438099998262,59,0.0013105827288132648,118,0.0006552913644066324,0,8,signals,61,28.849685455000014
1,aeqdsk_betan,0.06394505499997649,63,0.0010150008730154998,126,0.0005075004365077499,0,8,signals,61,28.849685455000014
2,aeqdsk_betan,0.08718164800001205,63,0.0013838356825398737,126,0.0006919178412699369,0,8,signals,61,28.849685455000014
3,aeqdsk_betan,0.06406729900001551,63,0.0010169412539685002,126,0.0005084706269842501,0,8,signals,61,28.849685455000014
4,aeqdsk_betan,0.07493602899998564,63,0.0011894607777775499,126,0.0005947303888887749,0,8,signals,61,28.849685455000014
5,aeqdsk_betan,0.0619332619999966,63,0.000983067650793597,126,0.0004915338253967985,0,8,signals,61,28.849685455000014
6,aeqdsk_betan,0.06504298199999425,63,0.0010324282857141944,126,0.0005162141428570972,0,8,signals,61,28.849685455000014
7,aeqdsk_betan,0.0676251160000163,63,0.0010734145396827984,126,0.0005367072698413992,0,8,signals,61,28.849685455000014
8,aeqdsk_betan,0.07825839700001325,59,0.0013264135084748007,118,0.0006632067542374004,0,8,signals,61,28.849685455000014
1,aeqdsk_betap,0.061876052000002346,63,0.0009821595555555929,126,0.0004910797777777964,0,8,signals,61,28.849685455000014
2,aeqdsk_betap,0.06310847199998193,63,0.001001721777777491,126,0.0005008608888887455,0,8,signals,61,28.849685455000014
3,aeqdsk_betap,0.06118785999998977,63,0.0009712358730157106,126,0.0004856179365078553,0,8,signals,61,28.849685455000014
4,aeqdsk_betap,0.06059154099997954,63,0.0009617704920631674,126,0.0004808852460315837,0,8,signals,61,28.849685455000014
5,aeqdsk_betap,0.062103637000006984,63,0.0009857720158731268,126,0.0004928860079365634,0,8,signals,61,28.849685455000014
6,aeqdsk_betap,0.0818712880000021,63,0.0012995442539682873,126,0.0006497721269841436,0,8,signals,61,28.849685455000014
7,aeqdsk_betap,0.05967327499999442,63,0.0009471948412697527,126,0.00047359742063487635,0,8,signals,61,28.849685455000014
8,aeqdsk_betap,0.05928158200001121,59,0.0010047725762713765,118,0.0005023862881356882,0,8,signals,61,28.849685455000014
1,aeqdsk_chisq,0.06624276699997722,63,0.0010514724920631304,126,0.0005257362460315652,0,8,signals,61,28.849685455000014
2,aeqdsk_chisq,0.08292023100000279,63,0.0013161941428571871,126,0.0006580970714285936,0,8,signals,61,28.849685455000014
3,aeqdsk_chisq,0.06988984000000187,63,0.0011093625396825693,126,0.0005546812698412846,0,8,signals,61,28.849685455000014
4,aeqdsk_chisq,0.07267075400000067,63,0.0011535040317460423,126,0.0005767520158730211,0,8,signals,61,28.849685455000014
5,aeqdsk_chisq,0.06343063500000312,63,0.0010068354761905258,126,0.0005034177380952629,0,8,signals,61,28.849685455000014
6,aeqdsk_chisq,0.07110526400001049,63,0.0011286549841271506,126,0.0005643274920635753,0,8,signals,61,28.849685455000014
7,aeqdsk_chisq,0.06255515200001582,63,0.000992938920635172,126,0.000496469460317586,0,8,signals,61,28.849685455000014
8,aeqdsk_chisq,0.05934909100000141,59,0.0010059167966101933,118,0.0005029583983050967,0,8,signals,61,28.849685455000014
1,aeqdsk_doutl,0.06817774500001406,63,0.0010821864285716516,126,0.0005410932142858258,0,8,signals,61,28.849685455000014
