worker#,obj-id,open+read-data-time,wrkr-num-objs,mean-obj-time,num-dsets,mean-dset-time,pb-size,num-workers,obj-type,tot-num-obj,total-runtime
1,1160923023,0.4786105260000113,1,0.4786105260000113,124,0.003859762306451704,268435456,1,shots,500,0.497862011000052
1,1160826006,0.5455261940001037,1,0.5455261940001037,62,0.008798809580646834,268435456,2,shots,500,0.6173176940001213
2,1160826006,0.597304885000085,1,0.597304885000085,61,0.009791883360657132,268435456,2,shots,500,0.6173176940001213
1,1160930021,0.2906858830001511,1,0.2906858830001511,32,0.009083933843754721,268435456,4,shots,500,0.3607680090001395
2,1160930021,0.29090647899988653,1,0.29090647899988653,32,0.009090827468746454,268435456,4,shots,500,0.3607680090001395
3,1160930021,0.3343164339999021,1,0.3343164339999021,33,0.010130801030300063,268435456,4,shots,500,0.3607680090001395
4,1160930021,0.32546328900002663,1,0.32546328900002663,26,0.012517818807693332,268435456,4,shots,500,0.3607680090001395
1,aeqdsk_aminor,30.774107931000117,63,0.48847790366666854,126,0.24423895183333427,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_aminor,29.63216128399995,63,0.4703517664126976,126,0.2351758832063488,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_aminor,28.686986241000113,63,0.45534898795238277,126,0.22767449397619138,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_aminor,30.941404192999926,63,0.4911333998888877,126,0.24556669994444386,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_aminor,29.404199010999946,63,0.46673331763491976,126,0.23336665881745988,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_aminor,30.185203340000044,63,0.47913021174603243,126,0.23956510587301622,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_aminor,24.46597165000003,63,0.3883487563492068,126,0.1941743781746034,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_aminor,18.55974365799989,59,0.3145719264067778,118,0.1572859632033889,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_area,19.980710073000182,63,0.31715412814286004,126,0.15857706407143002,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_area,19.252009958000144,63,0.3055874596507959,126,0.15279372982539796,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_area,18.710878757000046,63,0.2969980755079372,126,0.1484990377539686,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_area,19.531901097000173,63,0.3100301761428599,126,0.15501508807142994,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_area,18.83321164200015,63,0.2989398673333357,126,0.14946993366666786,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_area,19.040068032000136,63,0.30222330209524023,126,0.15111165104762012,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_area,19.07095060100005,63,0.3027135016031754,126,0.1513567508015877,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_area,18.35738252400006,59,0.3111420766779671,118,0.15557103833898356,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_betan,18.33024995100004,63,0.2909563484285721,126,0.14547817421428605,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_betan,18.37941329299997,63,0.2917367189365075,126,0.14586835946825374,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_betan,18.447738798000046,63,0.2928212507619055,126,0.14641062538095276,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_betan,19.12373186800005,63,0.3035512994920643,126,0.15177564974603214,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_betan,18.974362861000145,63,0.3011803628730182,126,0.1505901814365091,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_betan,19.623310328999878,63,0.3114811163333314,126,0.1557405581666657,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_betan,18.778727423999953,63,0.2980750384761897,126,0.14903751923809486,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_betan,17.362964879000174,59,0.29428754032203686,118,0.14714377016101843,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_betap,18.707701825999948,63,0.2969476480317452,126,0.1484738240158726,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_betap,18.80237639300003,63,0.2984504189365084,126,0.1492252094682542,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_betap,18.420388645000003,63,0.2923871213492064,126,0.1461935606746032,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_betap,18.62840482599995,63,0.2956889654920627,126,0.14784448274603135,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_betap,18.781748919000165,63,0.2981229987142883,126,0.14906149935714416,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_betap,18.862383433000105,63,0.2994029116349223,126,0.14970145581746114,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_betap,18.16737046000003,63,0.2883709596825402,126,0.1441854798412701,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_betap,17.59977382099987,59,0.29830125120338763,118,0.14915062560169381,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_chisq,18.68105062000018,63,0.29652461301587585,126,0.14826230650793792,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_chisq,18.655489563000174,63,0.29611888195238373,126,0.14805944097619186,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_chisq,18.434388130999878,63,0.29260933541269646,126,0.14630466770634823,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_chisq,18.760757267999907,63,0.2977897979047604,126,0.1488948989523802,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_chisq,18.50566741900002,63,0.29374075268254,126,0.14687037634127,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_chisq,18.70065581599988,63,0.2968358066031727,126,0.14841790330158636,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_chisq,18.150413868999976,63,0.2881018074444441,126,0.14405090372222204,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_chisq,17.53392513499989,59,0.29718517177965914,118,0.14859258588982957,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_doutl,18.575465128000133,63,0.2948486528253989,126,0.14742432641269945,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_doutl,18.688357327000176,63,0.2966405924920663,126,0.14832029624603316,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_doutl,18.4142271730002,63,0.2922893202063524,126,0.1461446601031762,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_doutl,18.345138068000097,63,0.2911926677460333,126,0.14559633387301665,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_doutl,18.434737570999914,63,0.2926148820793637,126,0.14630744103968185,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_doutl,18.622458600999835,63,0.29559458096825136,126,0.14779729048412568,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_doutl,18.358963929000083,63,0.29141212585714416,126,0.14570606292857208,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_doutl,17.129930007999974,59,0.29033779674576227,118,0.14516889837288113,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_doutu,18.472161543999846,63,0.2932089133968229,126,0.14660445669841146,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_doutu,18.682880116999968,63,0.29655365265079314,126,0.14827682632539657,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_doutu,18.58985667900015,63,0.29507709014285954,126,0.14753854507142977,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_doutu,18.379514728999993,63,0.2917383290317459,126,0.14586916451587295,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_doutu,18.441923202999988,63,0.2927289397301585,126,0.14636446986507926,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_doutu,18.45968245400013,63,0.2930108326031767,126,0.14650541630158834,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_doutu,18.434339679000004,63,0.2926085663333334,126,0.1463042831666667,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_doutu,17.147607722999965,59,0.2906374190338977,118,0.14531870951694886,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_eout,18.62235621600007,63,0.29559295580952494,126,0.14779647790476247,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_eout,18.62402790300007,63,0.29561949052381065,126,0.14780974526190532,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_eout,18.75844254200001,63,0.2977530562222224,126,0.1488765281111112,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_eout,18.42384892700011,63,0.2924420464603192,126,0.1462210232301596,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_eout,18.89672779700004,63,0.2999480602698419,126,0.14997403013492094,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_eout,18.74701264800001,63,0.2975716293333335,126,0.14878581466666674,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_eout,18.375010212000007,63,0.29166682876190486,126,0.14583341438095243,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_eout,17.492880916000104,59,0.2964895070508492,118,0.1482447535254246,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_kappa,18.281708641000023,63,0.2901858514444448,126,0.1450929257222224,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_kappa,18.58546290800018,63,0.2950073477460346,126,0.1475036738730173,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_kappa,18.350975754000046,63,0.29128532942857216,126,0.14564266471428608,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_kappa,18.37451655299992,63,0.29165899290476066,126,0.14582949645238033,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_kappa,18.59729382600017,63,0.2951951400952408,126,0.1475975700476204,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_kappa,18.40417535100005,63,0.29212976747619124,126,0.14606488373809562,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_kappa,18.414183053999977,63,0.29228861990476157,126,0.14614430995238079,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_kappa,17.361294989000044,59,0.29425923710169566,118,0.14712961855084783,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_li,19.126242998999942,63,0.30359115871428477,126,0.15179557935714239,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_li,18.35305387199992,63,0.2913183154285701,126,0.14565915771428506,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_li,18.956443733000015,63,0.3008959322698415,126,0.15044796613492076,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_li,18.569655441999885,63,0.29475643558729975,126,0.14737821779364987,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_li,18.308051446000036,63,0.2906039912063498,126,0.1453019956031749,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_li,18.41231315699997,63,0.29225893899999955,126,0.14612946949999978,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_li,18.25870622100001,63,0.28982073366666683,126,0.14491036683333341,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_li,17.507875453999986,59,0.2967436517627116,118,0.1483718258813558,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_obott,18.392975464000074,63,0.2919519914920647,126,0.14597599574603234,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_obott,18.20759699400014,63,0.28900947609524036,126,0.14450473804762018,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_obott,18.292148492000024,63,0.2903515633650797,126,0.14517578168253986,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_obott,18.18935485299994,63,0.2887199183015864,126,0.1443599591507932,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_obott,18.48588202299993,63,0.29342669877777666,126,0.14671334938888833,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_obott,18.707651021999936,63,0.2969468416190466,126,0.1484734208095233,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_obott,18.442910526000105,63,0.2927446115238112,126,0.1463723057619056,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_obott,17.266248022000127,59,0.2926482715593242,118,0.1463241357796621,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_otop,18.61343225099995,63,0.2954513055714278,126,0.1477256527857139,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_otop,18.543267429000025,63,0.29433757823809564,126,0.14716878911904782,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_otop,18.268113113000027,63,0.2899700494126988,126,0.1449850247063494,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_otop,18.384749450999834,63,0.2918214198571402,126,0.1459107099285701,268435456,8,signals,61,1117.4337210670003
5,aeqdsk_otop,18.483015289999912,63,0.29338119507936367,126,0.14669059753968183,268435456,8,signals,61,1117.4337210670003
6,aeqdsk_otop,18.292598924999993,63,0.290358713095238,126,0.145179356547619,268435456,8,signals,61,1117.4337210670003
7,aeqdsk_otop,18.32472593800003,63,0.29086866568254016,126,0.14543433284127008,268435456,8,signals,61,1117.4337210670003
8,aeqdsk_otop,17.039689309000096,59,0.288808293372883,118,0.1444041466864415,268435456,8,signals,61,1117.4337210670003
1,aeqdsk_q0,18.23565580000013,63,0.28945485396825604,126,0.14472742698412802,268435456,8,signals,61,1117.4337210670003
2,aeqdsk_q0,19.179588835999994,63,0.3044379180317459,126,0.15221895901587296,268435456,8,signals,61,1117.4337210670003
3,aeqdsk_q0,18.143921869999986,63,0.2879987598412696,126,0.1439993799206348,268435456,8,signals,61,1117.4337210670003
4,aeqdsk_q0,19.182485840000027,63,0.30448390222222266,126,0.15224195111111133,268435456,8,signals,61,1117.4337210670003
